0	[[25001,3,-15],[25002,7,-11],[20,0,0]]
1	[[25003,7,-6],[25004,1,-12],[25005,1,-9],[25006,10,-9],[25007,-1,-8],[25008,3,-7],[25009,7,-8],[25010,3,-5],[25011,3,-9],[25012,-1,-5],[25013,8,-5],[25014,5,-6],[25015,0,0],[25016,0,0],[25017,0,0],[25018,0,0],[34,0,0]]]
2	[[25019,12,4],[25020,3,-4],[25021,-5,-3],[25022,3,-3],[25023,-4,-2],[25024,-4,-2],[25025,4,-3],[25026,9,-1],[25027,5,-2],[25028,3,-3],[25029,0,0],[25030,7,0],[25031,0,0],[16,0,0]]

0	[[25032,1,-12],[25033,1,-12],[20,0,0]]]
1	[[25034,6,-1],[25035,3,-6],[25036,3,-7],[25037,3,-7],[25038,7,-3],[25039,9,-3],[25040,7,-4],[25041,6,-9],[25042,3,-5],[25043,4,-4],[25044,7,-5],[25045,5,-2],[25046,0,0],[25047,0,0],[25048,0,0],[25049,0,0],[34,0,0]]
2	[[25050,-5,0],[25051,1,-4],[25052,-14,-3],[25053,-16,-8],[25054,-18,-7],[25055,-16,-6],[25056,-14,-4],[25057,3,-1],[25058,-2,0],[25059,0,-3],[25060,0,0],[25061,-11,-1],[25062,0,0],[16,0,0]]

0	[[25066,2,-26],[25067,12,-23],[20,0,0]]
1	[[25068,0,-10],[25069,-2,-14],[25070,1,-12],[25071,8,-12],[25072,-2,-10],[25073,5,-10],[25074,4,-12],[25075,3,-7],[25076,0,-15],[25077,0,-6],[25078,2,-5],[25079,3,-9],[25080,0,0],[25081,0,0],[25082,0,0],[25083,0,0],[34,0,0]]
2	[[25084,9,5],[25085,2,-5],[25086,-2,-2],[25087,4,-3],[25088,-2,-3],[25089,4,-2],[25090,0,-1],[25091,9,-1],[25092,4,-3],[25093,4,-3],[25094,0,0],[25095,2,9],[25096,0,0],[16,0,0]]
